設問番号,設問内容,選択肢,選択肢内容,想定される人物像・資質,働き方・裁量,組織の風土,成長と挑戦,価値観・共鳴性,人間関係,顧客接点,業務スタイル,評価軸・報酬,多様性・自分らしさ,変化と安定
Q1,他人に褒められて一番嬉しかったのは、どんな行動や言葉？,A. 「○○さんがいて助かった！」と感謝された,周囲への貢献、気配り、支援力,共感力・協調性・安定志向,,6,8,,,,7,8,7,
Q1,他人に褒められて一番嬉しかったのは、どんな行動や言葉？,B. 「さすが、早い・正確！」と成果を認められた,スピード・正確性・プロ意識,成果志向・論理性・専門性,,10,,,,,6,4,,
Q1,他人に褒められて一番嬉しかったのは、どんな行動や言葉？,C. 「新しいアイデアすごい！」と工夫を褒められた,創造性・挑戦・改善志向,主体性・挑戦志向・柔軟性,,,,7,,,7,9,5,
Q1,他人に褒められて一番嬉しかったのは、どんな行動や言葉？,D. 「あなたの雰囲気がいいよね」と人柄や空気感を認められた,自己表現・多様性・安心感,自己肯定感・自分らしさ・自由志向,9,,,,,,5,4,,
Q2,集団の中で「自分らしくいられたな」と思える場面は？,A. お互いに意見を出し合って、自由にディスカッションしていた時,主体性・多様性・風通しの良さ,組織の風土・裁量・自分らしさ,,,6,8,5,,7,,,4
Q2,集団の中で「自分らしくいられたな」と思える場面は？,B. 自分の役割が明確で、しっかり責任を果たせた時,構造志向・安定・責任感,業務スタイル・働き方・成長,5,,,,5,,,7,7,7
Q2,集団の中で「自分らしくいられたな」と思える場面は？,C. みんなと足並みを揃え、スムーズに進んでいた時,協調・調和・安心感,人間関係・安定志向・風土,,8,,,,,,,,
Q2,集団の中で「自分らしくいられたな」と思える場面は？,D. 特に目立たないけど、自分のペースで動けた時,自律・控えめ・柔軟,働き方・裁量・多様性,,9,,,,9,,,7,
Q3,何かに熱中していたとき、どんなスタイルで取り組んでいた？,A. 一人で集中して黙々とやり切っていた,自律・没頭・構造化,業務スタイル・裁量・活かせる強み,5,,,,9,,,6,,9
Q3,何かに熱中していたとき、どんなスタイルで取り組んでいた？,B. チームで役割を分担して協力しながら進めていた,協働・調整・信頼関係,人間関係・組織風土・強み,,8,7,6,10,,7,4,4,10
Q3,何かに熱中していたとき、どんなスタイルで取り組んでいた？,C. アイデアを出しながら改善や工夫を重ねていた,創造・改善・挑戦志向,成長・挑戦・風土,5,9,8,10,,,6,7,,9
Q3,何かに熱中していたとき、どんなスタイルで取り組んでいた？,D. 周囲とコミュニケーションをとりながら、雰囲気を保っていた,空気感・安心感・バランス感覚,多様性・風土・人間関係,,9,,7,4,,,6,4,
Q4,「これは自分に合ってる」と感じた環境は？,A. 自分のアイデアや意見をすぐ試せる環境,裁量・スピード・挑戦,裁量・組織風土・成長,,6,9,10,,,6,,9,
Q4,「これは自分に合ってる」と感じた環境は？,B. 周囲に相談できる人がいて、安心して進められた環境,安心・支援・チームワーク,人間関係・風土・働き方,4,,,,,,,6,5,
Q4,「これは自分に合ってる」と感じた環境は？,C. 手順や基準がしっかりあって迷わなかった環境,安定・構造・正確性,業務スタイル・安定性・働き方,4,10,,6,,7,4,9,7,
Q4,「これは自分に合ってる」と感じた環境は？,D. 他の人と違っても許容される空気がある環境,多様性・受容・個性,多様性・自分らしさ・風土,,9,9,,,,8,,10,10
Q5,自分が最も力を発揮できるのは、どんな状況？,A. 一人で深く考えたり作業する時,没頭・集中・自律,業務スタイル・強み・裁量,5,,10,,5,,10,4,,4
Q5,自分が最も力を発揮できるのは、どんな状況？,B. チームで意見を出し合いながら動く時,協働・調整・思考の共有,人間関係・組織風土・風通し,10,,6,,,4,,,,
Q5,自分が最も力を発揮できるのは、どんな状況？,C. 目標に向かって自分なりに工夫して進める時,挑戦・創意・主体性,成長・裁量・挑戦志向,,,,8,7,,5,10,7,
Q5,自分が最も力を発揮できるのは、どんな状況？,D. 相手の反応を見ながらその場で対応する時,対人・即興性・臨機応変さ,顧客距離・多様性・強み,6,5,,,,,,,,
Q6,周囲にいる「すごいな」と思う人に共通する点は？,圧倒的な知識や専門性を持っている,専門追求・知的好奇心,強み・業務スタイル・成長,8,,,7,,6,7,10,8,4
Q6,周囲にいる「すごいな」と思う人に共通する点は？,B. 状況に応じて柔軟に対応できる,応用力・変化対応,変化耐性・裁量・多様性,9,,,,6,,,10,,7
Q6,周囲にいる「すごいな」と思う人に共通する点は？,C. 周囲を巻き込みながら動かせる力がある,影響力・調整力・リーダー性,人間関係・風土・顧客接点,5,,8,8,,,,9,,5
Q6,周囲にいる「すごいな」と思う人に共通する点は？,D. 自分らしさを貫いていて、ブレない,信念・自己確立・個性,多様性・価値観・裁量,8,,10,8,9,6,9,10,,7
Q7,どんな言葉をかけられると「やる気が出る」と思う？,A. 「自由にやっていいよ」,自主性・裁量・信頼,働き方・裁量・風土,4,7,10,,,8,7,,9,7
Q7,どんな言葉をかけられると「やる気が出る」と思う？,B. 「あなたならできると信じてる」,信頼・自信形成,成長・強み・人間関係,,,9,10,,,9,5,,7
Q7,どんな言葉をかけられると「やる気が出る」と思う？,C. 「みんなが頼りにしてるよ」,承認・役割認識,組織風土・人間関係・価値観,,,,,8,,,10,5,
Q7,どんな言葉をかけられると「やる気が出る」と思う？,D. 「これ、君の色が出てていいね」,個性・表現・承認,多様性・自分らしさ・裁量,,10,,4,5,,,,8,8
Q8,自分の「強み」が発揮されたと感じたのは？,A. 論理的に整理してわかりやすく伝えられた時,構造・思考・発信力,業務スタイル・強み・顧客距離,,,8,,5,,,,5,4
Q8,自分の「強み」が発揮されたと感じたのは？,B. 困っている人に自然と手を差し伸べられた時,共感・支援・空気感,人間関係・強み・風土,8,6,,,,,9,7,4,4
Q8,自分の「強み」が発揮されたと感じたのは？,C. 誰よりも粘り強く取り組めた時,継続・集中・成果,成長・裁量・業務スタイル,4,,,8,,,6,,,7
Q8,自分の「強み」が発揮されたと感じたのは？,D. 周囲の空気を読んで場を整えた時,雰囲気づくり・配慮・調和,風土・自分らしさ・人間関係,5,6,,,,,,,,
Q9,周囲の人と「うまくやれてる」と感じるのはどんな時？,A. 自分の役割や期待が明確な時,構造・責任感・安心感,業務・安定・風土,9,,,,4,7,,,10,
Q9,周囲の人と「うまくやれてる」と感じるのはどんな時？,B. お互いに率直に意見を言い合える時,風通し・共創・開放性,組織の風土・裁量・成長,10,,9,10,,7,,,,
Q9,周囲の人と「うまくやれてる」と感じるのはどんな時？,C. 雰囲気が良くて気軽に雑談もできる時,空気感・つながり・柔らかさ,人間関係・多様性・自分らしさ,,5,4,5,,,5,,,
Q9,周囲の人と「うまくやれてる」と感じるのはどんな時？,D. 自分のペースを大事にしても干渉されない時,自律・静か・適度な距離,裁量・働き方・個性尊重,,,,10,,,10,7,,4
Q10,「自分の未来」がイメージしやすくなったのはどんな瞬間？,A. 憧れる人の働き方を見たとき,目標設定・影響力,成長・価値観・風土,8,,,,4,4,9,8,4,5
Q10,「自分の未来」がイメージしやすくなったのはどんな瞬間？,B. 自分が何かをやり切った経験を振り返ったとき,自信・継続・挑戦,成長・裁量・業務,,4,,,6,,9,,4,9
Q10,「自分の未来」がイメージしやすくなったのはどんな瞬間？,C. 具体的な制度やキャリアの情報を得たとき,情報重視・構造派,安定・流動性・働き方,9,6,,6,9,,4,6,4,10
Q10,「自分の未来」がイメージしやすくなったのはどんな瞬間？,D. 誰かと話す中で自分の強みが整理されたとき,内省・対話・自己理解,強み・人間関係・価値観,9,10,5,,8,,6,8,,8
Q11,「やりきった」と思える経験には、どんな特徴がありましたか？,A. 難しかったけど、自分で工夫して乗り越えた,挑戦・創造性,成長・裁量・強み,10,7,,8,,,6,5,,9
Q11,「やりきった」と思える経験には、どんな特徴がありましたか？,B. 周囲の支えがあってやり切れた,協働・感謝・関係性,人間関係・風土・自分らしさ,,5,9,,,6,7,10,,
Q11,「やりきった」と思える経験には、どんな特徴がありましたか？,C. 明確な目標があり、それに向けて努力できた,目標志向・計画性,業務スタイル・安定・強み,,,9,,4,10,,,,
Q11,「やりきった」と思える経験には、どんな特徴がありましたか？,D. 自分が「これをやりたい」と思って動いた,内発的動機・意思・価値観,価値観・裁量・自分らしさ,,4,6,,,,,4,6,4
Q12,「この人と一緒に働きたい」と思うのは、どんな人？,A. 冷静に判断しつつ、論理的に話せる人,論理性・安定,業務・風土・裁量,,4,,,,,9,,,
Q12,「この人と一緒に働きたい」と思うのは、どんな人？,B. すぐに声をかけてくれて、相談しやすい人,共感・距離の近さ,人間関係・多様性・裁量,,,7,,10,5,,10,,6
Q12,「この人と一緒に働きたい」と思うのは、どんな人？,C. 役割を理解し、自分の仕事をきちんとこなす人,責任感・信頼性,安定・働き方・成長,4,6,7,,,,9,9,,4
Q12,「この人と一緒に働きたい」と思うのは、どんな人？,D. 柔らかくて、どんな時でも安心できる人,安心感・配慮・支え,自分らしさ・関係性・風土,,7,4,7,,6,7,,5,4
Q13,「この人みたいになりたい」と思える人の特徴は？,A. 常に新しいことに挑戦し続けている人,革新・行動力,成長・変化耐性・裁量,,4,8,,,9,5,,,
Q13,「この人みたいになりたい」と思える人の特徴は？,B. 何をしていても自分らしく自然体な人,自己肯定・自由さ,多様性・裁量・価値観,8,,,9,5,4,,,,6
Q13,「この人みたいになりたい」と思える人の特徴は？,C. 安定していて、人から信頼されている人,信頼・責任・安定性,安定・風土・強み,,,,10,9,,9,,,6
Q13,「この人みたいになりたい」と思える人の特徴は？,D. 社会や誰かの役に立ち続けている人,貢献・意義・外向性,顧客距離・価値観・風土,,,4,5,,,,9,6,
Q14,「この環境なら自分は伸びる」と思える職場の特徴は？,A. 失敗を恐れずにチャレンジできる,心理的安全・挑戦,成長・風土・裁量,6,8,8,9,5,,,5,4,
Q14,「この環境なら自分は伸びる」と思える職場の特徴は？,B. 明確な基準と評価制度が整っている,構造・安心感,安定・業務スタイル・成長,5,,10,10,,10,,8,,4
Q14,「この環境なら自分は伸びる」と思える職場の特徴は？,C. 周囲と率直なフィードバックが行き交う,フィードバック文化・風通し,成長・風土・関係性,8,9,,,6,8,,7,,
Q14,「この環境なら自分は伸びる」と思える職場の特徴は？,D. 静かに集中できる時間が確保されている,自律・内向性,働き方・裁量・自分らしさ,,,4,,,,,,,
Q15,「報われた」と強く感じた経験は？,A. 結果を出して周囲に認められた時,成果・承認,成長・報酬・風土,8,6,10,9,9,4,7,10,,
Q15,「報われた」と強く感じた経験は？,B. 誰かに感謝された時,支援・貢献・共感,顧客接点・人間関係・価値観,9,9,4,7,8,,5,9,8,
Q15,「報われた」と強く感じた経験は？,C. 自分の考えや想いが形になった時,表現・主体性,自分らしさ・裁量・強み,,,5,4,6,,,5,8,5
Q15,「報われた」と強く感じた経験は？,D. チームで一つのゴールを達成できた時,協力・信頼・達成,組織の風土・人間関係・業務,5,5,8,,6,7,6,,,
Q16,あなたが「これは価値がある仕事だ」と心から感じたのは、どんな時？,A. 社会課題にアプローチし、多くの人の役に立った時,公共性・意義志向,顧客接点・価値観・共鳴性,5,,,10,,8,10,,,
Q16,あなたが「これは価値がある仕事だ」と心から感じたのは、どんな時？,B. 誰か一人でも「ありがとう」と言ってくれた時,対人貢献・共感・丁寧さ,人間関係・価値観・自分らしさ,,,7,9,9,7,,9,9,9
Q16,あなたが「これは価値がある仕事だ」と心から感じたのは、どんな時？,C. 数字や成果としてきちんと結果を出せた時,ロジック・実績重視,成長・報酬・業務スタイル,7,10,,10,,5,,,6,8
Q16,あなたが「これは価値がある仕事だ」と心から感じたのは、どんな時？,D. 自分の想いをカタチにして世の中に出せた時,自己表現・創造・挑戦,自分らしさ・裁量・風土,9,,9,,,8,9,4,,
Q17,これまでで一番「ワクワクした経験」はどんな時？,A. 新しい場所・人・テーマに飛び込んだ時,好奇心・挑戦,成長・変化耐性・裁量,,9,,,,,10,,6,
Q17,これまでで一番「ワクワクした経験」はどんな時？,B. 周囲と協力して、何かを形にしていく時,協働・達成,人間関係・風土・強み,4,,8,,6,4,,,,4
Q17,これまでで一番「ワクワクした経験」はどんな時？,C. 一つの物事をじっくり掘り下げていた時,探究・集中,業務スタイル・働き方・強み,,,10,,7,,5,4,9,
Q17,これまでで一番「ワクワクした経験」はどんな時？,D. 自分の発想で新しい価値を生み出せた時,創造・主体性,裁量・成長・自分らしさ,10,,,,6,4,10,5,7,7
Q18,将来の自分が「納得している」と思える人生は？,A. 社会や人に貢献してきたと胸を張れる人生,公共性・外向志向,顧客接点・価値観・風土,4,,,7,,,5,,8,
Q18,将来の自分が「納得している」と思える人生は？,B. 自分のペースで、大切なものを大切にできた人生,自律・安定・内向,自分らしさ・裁量・安定志向,4,,,,,,,10,,
Q18,将来の自分が「納得している」と思える人生は？,C. 多くの経験や出会いに満ちた、変化に富んだ人生,多様性・冒険・柔軟,変化耐性・多様性・成長,,7,5,10,,9,,,4,
Q18,将来の自分が「納得している」と思える人生は？,D. 成果を残し、周囲に影響を与える立場になった人生,リーダー性・目標達成,成長・強み・業務スタイル,,,,,,10,,4,5,7
Q19,「ちょっとしんどいな」と感じるのはどんな時？,A. 同じ作業が延々と続く時,変化欲求・刺激派,変化耐性・裁量・成長,9,,5,4,,,4,,,7
Q19,「ちょっとしんどいな」と感じるのはどんな時？,B. 常に人と関わり続けないといけない時,内向性・エネルギー消費,自分らしさ・働き方・顧客接点,,,,,7,,6,8,,6
Q19,「ちょっとしんどいな」と感じるのはどんな時？,C. 指示が曖昧で動き方がよくわからない時,構造志向・安定思考,業務スタイル・安定性・風土,10,,5,,10,,,5,,9
Q19,「ちょっとしんどいな」と感じるのはどんな時？,D. 意見が言いづらい、空気が重い環境の時,自由・心理的安全,組織風土・裁量・自分らしさ,5,,,10,7,,7,9,,
Q20,あなたが自然と大事にしている「判断基準」は？,A. 自分が納得できるかどうか,主体性・内的整合性,自分らしさ・裁量・価値観,8,8,,,9,,9,6,4,
Q20,あなたが自然と大事にしている「判断基準」は？,B. 周囲に対して意味や影響があるかどうか,意義・他者志向,顧客接点・共鳴性・風土,7,4,,,,,9,,,
Q20,あなたが自然と大事にしている「判断基準」は？,C. 目的に対して効率的であるかどうか,ロジック・合理性,業務スタイル・成果志向,,7,,,9,6,8,,7,
Q20,あなたが自然と大事にしている「判断基準」は？,D. 気持ちよく協力できる雰囲気かどうか,空気感・協調,組織風土・人間関係・多様性,,8,,,6,5,5,5,,10
Q21,周囲にどう思われても、自分が貫きたいと思うことは？,A. 自分が信じたことをやりきること,信念・一貫性,自分らしさ・裁量・価値観,7,,4,,10,10,8,10,5,
Q21,周囲にどう思われても、自分が貫きたいと思うことは？,B. 相手の気持ちを思いやって行動すること,共感・配慮,人間関係・風土・顧客接点,,5,5,,10,,4,,,4
Q21,周囲にどう思われても、自分が貫きたいと思うことは？,C. 与えられた役割を最後までやり遂げること,責任・誠実,安定・業務スタイル・評価軸,,,5,,,4,,7,5,
Q21,周囲にどう思われても、自分が貫きたいと思うことは？,D. 自分のペースと心の余裕を保つこと,自律・内向性,働き方・裁量・多様性,,,8,5,7,,9,8,,
Q22,「尊敬できる」と感じる組織の特徴は？,A. 一人ひとりの意思が尊重されている,裁量・対等性,裁量・風土・自分らしさ,,,7,8,4,,,7,,
Q22,「尊敬できる」と感じる組織の特徴は？,B. 高い目標に向かって進化し続けている,成長・挑戦,成長・変化耐性・強み,7,,7,5,4,7,5,,,
Q22,「尊敬できる」と感じる組織の特徴は？,C. 社会に誠実に向き合い続けている,持続性・公共性,顧客接点・価値観・風土,,,10,,10,8,,,6,
Q22,「尊敬できる」と感じる組織の特徴は？,D. 社内の人間関係がとにかく温かい,協調・支援・安心,人間関係・組織風土・多様性,,,5,5,4,8,7,9,7,
Q23,「この瞬間、人生が動いた」と感じた経験は？,A. 思い切って新しい世界に飛び込んだ時,飛躍・冒険心,変化耐性・成長・裁量,,7,7,,5,,8,10,,
Q23,「この瞬間、人生が動いた」と感じた経験は？,B. 信頼する誰かとの対話で価値観が変わった時,内省・つながり,人間関係・価値観・強み,4,,,,9,,7,4,,9
Q23,「この瞬間、人生が動いた」と感じた経験は？,C. 地道な努力が実り、結果を出せた時,継続・成果,業務スタイル・評価軸・強み,9,6,,,8,,10,,,
Q23,「この瞬間、人生が動いた」と感じた経験は？,D. 心から共感できるビジョンに出会った時,共鳴・方向性,価値観・ミッション・裁量,,5,,,,,8,,,
Q24,あなたが「一番力を出せそう」と思うテーマは？,A. 正解のない課題を仲間と議論しながら形にすること,共創・仮説思考,組織風土・成長・裁量,8,,,4,7,,,7,5,
Q24,あなたが「一番力を出せそう」と思うテーマは？,B. 一人で集中して成果を積み重ねていくこと,自律・持続力,業務スタイル・裁量・強み,,10,8,,4,,,8,,10
Q24,あなたが「一番力を出せそう」と思うテーマは？,C. 目の前の人に向き合って何かを届けること,対人・貢献・応答性,顧客距離・人間関係・風土,,5,,,10,4,10,,9,
Q24,あなたが「一番力を出せそう」と思うテーマは？,D. 情報やデータを分析して提案を組み立てること,ロジック・構造力,強み・業務スタイル・評価軸,,,,7,,,,,,
Q25,「生き方としてかっこいい」と思うのは？,A. 自分の意志を曲げずに突き進む人,信念・独立,自分らしさ・裁量・価値観,8,,10,7,5,9,,7,,8
Q25,「生き方としてかっこいい」と思うのは？,B. 誰に対しても優しく、丁寧に接する人,調和・誠実,人間関係・風土・顧客接点,6,10,7,6,4,10,,,4,4
Q25,「生き方としてかっこいい」と思うのは？,C. 常に学びながら変化を楽しんでいる人,柔軟性・成長,成長・変化耐性・強み,,6,,9,6,8,7,9,9,6
Q25,「生き方としてかっこいい」と思うのは？,D. 結果で周囲を納得させる実力派の人,成果・論理・納得性,評価軸・業務スタイル・強み,,,5,6,,9,8,,,8
Q26,「理想のチーム」と聞いて思い浮かぶのは？,A. それぞれが自由に動きながらも、自然に支え合っているチーム,自律・協調・信頼,裁量・人間関係・風土,9,,6,,4,6,,9,,
Q26,「理想のチーム」と聞いて思い浮かぶのは？,B. 明確な目標に向かってガンガン前進していくチーム,目標志向・スピード,成長・業務・評価軸,,,6,4,8,,7,10,6,5
Q26,「理想のチーム」と聞いて思い浮かぶのは？,C. 雰囲気がよくて、何でも話しやすいチーム,心理的安全・オープンネス,組織風土・多様性・人間関係,,8,6,,5,5,8,,,
Q26,「理想のチーム」と聞いて思い浮かぶのは？,D. 各自が黙々とプロとして責任を果たしているチーム,専門性・信頼・安定性,業務スタイル・裁量・評価軸,,,,,,4,9,,,5
Q27,「この会社、面白い」と感じるのはどんな時？,A. 他にないサービスや仕組みを生み出している,革新性・挑戦,成長・風土・裁量,9,,,,,4,,9,5,8
Q27,「この会社、面白い」と感じるのはどんな時？,B. 社員のキャラや雰囲気が個性的で多様,多様性・自分らしさ,組織風土・自分らしさ・働き方,,5,8,5,,,,,,
Q27,「この会社、面白い」と感じるのはどんな時？,C. 社会課題に真剣に向き合っている,社会貢献・意義,顧客距離・価値観・風土,,,10,4,9,,,4,5,
Q27,「この会社、面白い」と感じるのはどんな時？,D. ロジックやデータに基づいて動いている,論理・構造・実直,業務スタイル・評価軸・強み,6,10,5,,9,,,6,5,
Q28,どんな「報酬」が一番モチベーションになる？,A. 成果がきちんと給与や昇進に反映されること,実力主義・納得性,評価軸・成長・業務,,10,4,,,,,,,10
Q28,どんな「報酬」が一番モチベーションになる？,B. 感謝の言葉や小さな承認を得られること,共感・温かさ,人間関係・風土・価値観,7,,8,5,,7,,7,8,4
Q28,どんな「報酬」が一番モチベーションになる？,C. 新しい経験やスキルがどんどん増えていくこと,挑戦・学び,成長・裁量・強み,8,8,5,,10,6,6,5,,
Q28,どんな「報酬」が一番モチベーションになる？,D. 好きなことをやり続けられる自由さ,自由・内発動機,自分らしさ・裁量・多様性,5,7,,,7,,,,,
Q29,「この人、働き方が素敵だな」と思う瞬間は？,A. 自分のスタイルを貫きつつ成果を出している時,自立・プロ意識,自分らしさ・裁量・評価軸,4,6,6,7,5,,7,7,10,10
Q29,「この人、働き方が素敵だな」と思う瞬間は？,B. 周囲に温かい気遣いをしながら働いている時,協調・支援・余白,人間関係・風土・裁量,,,9,4,6,,6,,,
Q29,「この人、働き方が素敵だな」と思う瞬間は？,C. スピーディに状況判断して次々に動いている時,行動・変化適応,成長・変化耐性・強み,,6,,,5,9,6,4,8,7
Q29,「この人、働き方が素敵だな」と思う瞬間は？,D. 意味や目的を大切にして行動している時,意義・内発的動機,価値観・裁量・顧客距離,8,,,,7,,6,4,,
Q30,就活を終えた後、「よかったな」と思いたいのは？,A. 自分の大切にしたいことを守れたこと,自己一致・納得感,価値観・裁量・自分らしさ,,9,,,8,8,,,4,4
Q30,就活を終えた後、「よかったな」と思いたいのは？,B. 一緒に働きたいと思える人と出会えたこと,共感・関係性,人間関係・風土・多様性,9,4,,,,9,8,7,,
Q30,就活を終えた後、「よかったな」と思いたいのは？,C. これからの成長が明確に見えていること,ビジョン・加速度,成長・業務・評価軸,,5,,,,,,,9,8
Q30,就活を終えた後、「よかったな」と思いたいのは？,D. 不安なく、日々を心穏やかに過ごせそうなこと,安定・安心・自律,働き方・安定性・自分らしさ,,,,,4,,,,4,4
